0.1	0.0998334	0.0998334
0.2	0.198669	0.198669
0.3	0.29552	0.29552
0.4	0.389418	0.389418
0.5	0.479426	0.479426
0.6	0.564642	0.564642
0.7	0.644218	0.644218
0.8	0.717356	0.717356
0.9	0.783327	0.783327
1	0.841471	0.841471
1.1	0.891207	0.891207
1.2	0.932039	0.932039
1.3	0.963558	0.963558
1.4	0.98545	0.98545
1.5	0.997495	0.997495
1.6	0.999574	0.999574
1.7	0.991665	0.991665
1.8	0.973848	0.973848
1.9	0.9463	0.9463
2	0.909297	0.909297
2.1	0.863209	0.863209
2.2	0.808496	0.808496
2.3	0.745705	0.745705
2.4	0.675463	0.675463
2.5	0.598472	0.598472
2.6	0.515501	0.515501
2.7	0.42738	0.42738
2.8	0.334988	0.334988
2.9	0.239249	0.239249
3	0.14112	0.14112
3.1	0.0415807	0.0415807
3.2	-0.0583741	-0.0583741
3.3	-0.157746	-0.157746
3.4	-0.255541	-0.255541
3.5	-0.350783	-0.350783
3.6	-0.44252	-0.44252
3.7	-0.529836	-0.529836
3.8	-0.611858	-0.611858
3.9	-0.687766	-0.687766
4	-0.756803	-0.756802
4.1	-0.818277	-0.818277
4.2	-0.871576	-0.871576
4.3	-0.916166	-0.916166
4.4	-0.951603	-0.951602
4.5	-0.977531	-0.97753
4.6	-0.993693	-0.993691
4.7	-0.999926	-0.999923
4.8	-0.996168	-0.996165
4.9	-0.982458	-0.982453
5	-0.958933	-0.958924
5.1	-0.925828	-0.925815
5.2	-0.883475	-0.883455
5.3	-0.832297	-0.832267
5.4	-0.772809	-0.772764
5.5	-0.705605	-0.70554
5.6	-0.631362	-0.631267
5.7	-0.550823	-0.550686
5.8	-0.4648	-0.464602
5.9	-0.374159	-0.373877
6	-0.279816	-0.279415
6.1	-0.182728	-0.182163
6.2	-0.0838832	-0.0830894
6.3	0.0157056	0.0168139
6.4	0.11501	0.116549
6.5	0.212994	0.21512
6.6	0.308619	0.311541
6.7	0.400852	0.40485
6.8	0.48867	0.494113
6.9	0.571062	0.57844
7	0.647032	0.656987
7.1	0.715595	0.728969
7.2	0.775776	0.793668
7.3	0.826597	0.850437
7.4	0.86707	0.898708
7.5	0.896174	0.938
7.6	0.912833	0.96792
7.7	0.915882	0.988168
7.8	0.904027	0.998543
7.9	0.875787	0.998941
8	0.829433	0.989358
