0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0.3
0.22	0
0.23	0
0.24	0
0.25	0.2
0.26	0
0.27	0.4
0.28	0.6
0.29	0.4
0.3	0.8
0.31	1.8
0.32	1
0.33	0.9
0.34	0.9
0.35	1.4
0.36	1.4
0.37	2.3
0.38	1.2
0.39	2.7
0.4	2.3
0.41	3.2
0.42	3.8
0.43	2.4
0.44	3.7
0.45	3.6
0.46	3
0.47	4.3
0.48	5.3
0.49	4.2
0.5	4.5
0.51	3.9
0.52	2.7
0.53	4.2
0.54	3.1
0.55	2.8
0.56	2.6
0.57	3.3
0.58	2.2
0.59	1.6
0.6	2.9
0.61	2.4
0.62	1.9
0.63	2.2
0.64	1
0.65	1.6
0.66	0.9
0.67	1.1
0.68	0.6
0.69	0.7
0.7	0.4
0.71	0.3
0.72	0.2
0.73	0.1
0.74	0.3
0.75	0
0.76	0.2
0.77	0
0.78	0.1
0.79	0
0.8	0
0.81	0.1
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
